"Transportation activity indicators, Transport Canada"
"Frequency: Monthly"
"Table: 23-10-0269-01"
"Release date: 2022-11-02"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Activity indicators","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022"
,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International passengers, number of Canadian and U.S. travellers between Canada and the United States 1  (x 1,000)","4,215","3,886","4,831","5,224","5,391","6,173","7,809","7,970","6,096","5,402","4,764","4,928","4,353","4,171","5,561","5,331","5,945","6,552","7,821","8,078","5,949","5,347","4,677","5,002","4,176","3,995","5,462","5,406","5,879","6,490","7,926","8,319","5,930","5,358","4,751","5,081","4,272","4,354","2,848","203","241","312","347","375","363","382","351","385","351","292","353","379","425","439","589","1,016","993","1,045","1,225","1,669","909","1,001","1,803","2,842","3,321","3,711","4,784","4,950"
"International passengers, number of Canadian and non-U.S. travellers overseas, all modes of transport 2  (x 1,000)","1,675","1,460","1,740","1,636","1,525","1,594","1,887","2,026","1,663","1,330","1,117","1,369","1,592","1,448","1,754","1,568","1,517","1,562","1,871","2,028","1,650","1,306","1,103","1,428","1,673","1,501","1,792","1,649","1,645","1,670","1,967","2,180","1,727","1,359","1,166","1,487","1,727","1,531","1,170","46","41","56","82","128","109","100","102","149","195","106","76","90","78","96","205","433","467","462","488","715","543","491","834","950","968","1,036","1,342","1,299"
"International freight, number of commercial vehicles travelling between Canada and the United States 3  (x 1,000)","434","413","480","434","496","501","438","504","467","473","471","403","438","426","492","472","504","489","449","493","452","498","461","399","436","412","473","457","493","462","453","475","448","478","460","416","429","421","436","315","341","422","436","442","457","474","431","430","422","407","493","452","443","474","448","456","454","469","454","438","399","387","495","459","463","476","433","468"
,"Twenty feet equivalent units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International freight, total twenty-foot equivalent units (TEUs) handled at four major container ports 4  (x 1,000)","451.2","466.2","500.6","499.5","551.2","539.7","549.2","540.4","563.5","541.8","563.8","516.1","510.7","490.7","558.0","523.8","583.6","563.0","582.9","546.3","597.6","582.8","569.7","550.0","586.9","485.9","558.4","584.5","594.7","577.5","603.9","633.1","589.8","575.3","556.5","552.1","521.6","491.9","486.9","557.4","512.9","519.6","571.3","568.1","585.4","681.8","608.2","614.7","606.4","517.4","635.5","582.4","681.3","570.0","584.6","621.6","576.5","641.0","520.5","555.6","516.3","488.0","618.4","618.7","624.6","608.3","..",".."
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merchandise trade, total export of goods 5  (x 1,000,000)","44,598","42,320","49,760","45,367","50,095","48,075","40,976","43,579","42,944","45,506","46,718","46,150","45,322","42,357","49,740","47,542","50,819","52,407","49,256","50,449","48,682","51,763","49,142","46,815","45,576","42,507","51,635","49,765","55,430","51,000","48,836","49,389","49,187","50,836","48,024","49,896","46,569","44,506","48,176","32,473","34,249","41,116","43,290","43,610","46,696","47,507","46,786","47,822","47,398","45,556","53,823","48,896","49,955","55,322","51,464","53,906","52,616","55,085","58,811","58,418","54,804","54,153","68,336","63,760","70,782","71,648","65,733","66,700"
"Merchandise trade, total import of goods 6  (x 1,000,000)","41,926","42,630","49,822","46,676","50,916","51,064","44,181","48,099","46,015","46,476","48,880","45,346","43,872","44,372","52,665","50,308","53,203","52,780","49,772","52,137","49,042","51,617","49,382","46,735","48,035","46,335","53,602","52,031","54,238","50,676","49,965","51,819","49,358","51,808","48,068","46,027","45,620","44,994","49,387","36,352","34,615","43,664","46,870","47,121","48,658","50,702","48,291","46,888","43,730","43,459","54,719","49,774","50,314","51,826","51,200","52,388","51,116","54,037","54,972","56,206","48,566","50,801","64,997","62,649","63,517","66,458","61,395","64,494"
,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
